,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case
"Cer 38:1 (d18:1/20:0, d16:1/22:0)",14225,7713,10831,5725,6259,7511,17380,19065,16376,15611,21254,13784,11675,17280,8704,17317,28863,15644
"Cer 40:1 (d18:1/22:0, d16:1/24:0)",112052,72449,89452,38732,55428,74289,105549,176594,150632,175345,236887,155341,116374,169068,92554,145191,248902,140158
Cer 40:2 (d18:2/22:0),21305,31014,9272,22890,18573,8482,45276,42670,18601,39637,32723,25171,18965,25758,14775,23592,48651,29697
Cer 41:0 (d18:0/23:0),19889,3254,20052,13916,3168,22592,13281,47285,53458,32847,58885,8325,45317,45937,17369,16690,38581,21512
Cer 41:1 (d18:1/23:0),77608,56993,91894,60691,41851,68926,67075,177548,189627,167454,253349,151280,163248,194690,92564,158514,222918,157111
Cer 41:2 (d18:2/23:0),17424,32182,17190,10429,14818,9534,38418,50945,21127,48995,39481,24451,32261,28787,9775,25697,45912,26268
Cer 42:1 (d18:1/24:0),326800,240546,321064,237164,199132,264944,224064,530918,838087,595164,894769,747919,527978,778908,494717,596028,912497,670867
Cer 42:2 (d18:1/24:1),162241,108339,205169,74518,92196,62238,162712,170587,206952,142657,260994,125293,167744,212936,113878,130959,288103,193977
"Cer 42:2 (d18:2/24:0, d18:1/24:1)",84219,184826,80941,114053,90723,90892,168419,212066,92718,241547,159443,153703,122182,119072,91725,133972,233844,115531
"Cer 42:3 (d18:1/24:2, d18:2/24:1)",52136,58989,51703,38206,40029,31481,74985,60182,42630,49744,69505,33787,54133,55778,21968,41498,83748,59957
DG 30:0 (14:0/16:0),1481,4730,17534,1095,2195,1214,8647,36511,1107,18023,37759,4788,740,26290,4080,644,24442,2200
DG 32:0 (16:0/16:0),80447,75808,175240,78357,69078,51345,96950,241608,127032,209533,241841,113630,113913,213746,118505,97656,283152,107068
"DG 32:1 (16:0/16:1, 14:0/18:1)",36474,63276,105088,56818,20470,10315,97036,192200,32322,140758,154347,30853,40140,125409,32268,17432,206785,26825
DG 32:2 (14:0/18:2),32897,47565,80825,47457,30713,13153,59833,181418,26848,93736,150355,31381,29011,84172,43611,15213,95136,22816
DG 34:0 (16:0/18:0),250570,151531,370009,155284,154294,183239,155248,275738,401978,330253,428605,297364,335734,347479,336963,350170,417705,420187
DG 34:1 (16:0/18:1),390254,866457,986883,468090,553586,273520,1134781,2060663,398828,1440460,1176634,554195,498156,1033557,424591,320192,1906815,473850
DG 34:2 (16:0/18:2),772101,1488411,1381983,745939,602873,598421,2260442,4064031,611514,2016590,2150814,704590,840213,1312666,513475,489941,1512372,737415
DG 34:3 (16:1/18:2),109828,201788,156689,127720,71682,32629,134498,491202,90025,189448,246255,96183,167805,172699,123386,72378,321420,89537
"DG 34:4 (16:2/18:2, 16:1/18:3)",12034,11513,9912,10700,6379,4370,20989,35639,9670,12297,19134,9760,12423,12565,9672,5952,21642,6304
DG 36:0 (18:0/18:0),189443,123705,331315,125372,132286,134712,45838,178610,449025,245144,260290,260579,318659,259620,336111,411641,218069,377566
DG 36:1 (18:0/18:1),36176,84926,195044,67773,90663,39268,267283,455816,61095,226334,288793,85580,37278,221278,69845,56989,185469,44071
DG 36:2 (18:1/18:1),761372,1472490,1381415,777748,975510,449816,2048806,3276078,681420,1358435,1559526,690676,660860,1480944,624649,583374,2297782,614502
DG 36:3 (18:1/18:2),2073124,3538764,2579975,1681171,1539554,1459440,4957755,8353240,1394861,2598799,4058014,1269002,1718153,3303496,1496092,1265592,4042640,1453337
DG 36:4 (18:2/18:2),1324599,1610901,1087683,809437,575544,911626,3414204,5484204,790863,1184631,2475380,916995,855958,1608764,937693,692241,1779229,807310
DG 36:4 (16:0/20:4),17044,32779,53931,26464,6152,16396,36526,78998,10261,121241,47620,7459,12446,13875,8764,8702,23765,13594
DG 36:5 (18:2/18:3),118031,64322,64289,50782,31231,59618,270513,338536,60533,84994,156424,51631,47271,79530,68610,41342,89406,42287
