,Asymptomatic_01,Asymptomatic_02,Asymptomatic_03,Asymptomatic_04,Asymptomatic_05,Asymptomatic_06,Asymptomatic_07,Asymptomatic_08,Asymptomatic_09,Asymptomatic_10,Asymptomatic_11,Asymptomatic_12,Asymptomatic_13,Asymptomatic_14,Asymptomatic_15,Asymptomatic_16,Asymptomatic_17,Asymptomatic_18,Asymptomatic_19,Asymptomatic_20,Asymptomatic_21,Asymptomatic_22,Asymptomatic_23,Asymptomatic_24,Asymptomatic_25,Asymptomatic_26,Asymptomatic_27,Asymptomatic_28,Asymptomatic_29,Asymptomatic_30,Asymptomatic_31,Asymptomatic_32,Asymptomatic_33,Asymptomatic_34,Asymptomatic_35,Asymptomatic_36,Asymptomatic_37,Asymptomatic_38,Asymptomatic_39,Asymptomatic_40,Asymptomatic_41,Asymptomatic_42,Asymptomatic_43,Asymptomatic_44,Asymptomatic_45,Asymptomatic_46,Asymptomatic_47,Asymptomatic_48,Asymptomatic_49,Asymptomatic_50,Asymptomatic_51,Asymptomatic_52,Asymptomatic_53,Asymptomatic_54,Asymptomatic_55,Asymptomatic_56,Asymptomatic_57,Asymptomatic_58,Asymptomatic_59,Asymptomatic_60,Asymptomatic_61,Asymptomatic_62,Asymptomatic_63,Asymptomatic_64,Asymptomatic_65,Asymptomatic_66,Asymptomatic_67,Asymptomatic_68,Asymptomatic_69,Asymptomatic_70,Asymptomatic_71,Asymptomatic_72,Asymptomatic_73,Asymptomatic_74,Asymptomatic_75,Asymptomatic_76,Asymptomatic_77,Asymptomatic_78,Asymptomatic_79,Asymptomatic_80,Asymptomatic_81,Asymptomatic_82,Asymptomatic_83,Asymptomatic_84,Asymptomatic_85,Asymptomatic_86,Asymptomatic_87,Asymptomatic_88,Asymptomatic_89,Healthy_01,Healthy_02,Healthy_03,Healthy_04,Healthy_05,Healthy_06,Healthy_07,Healthy_08,Healthy_09,Healthy_10,Healthy_11,Healthy_12,Healthy_13,Healthy_14,Healthy_15,Healthy_16,Healthy_17,Healthy_18,Healthy_19,Healthy_20,Healthy_21,Healthy_22,Healthy_23,Healthy_24,Healthy_25,Healthy_26,Healthy_27,Healthy_28,Healthy_29,Healthy_30,Healthy_31,Healthy_32,Healthy_33,Healthy_34,Healthy_35,Healthy_36,Healthy_37,Healthy_38,Healthy_39,Healthy_40,Healthy_41,Healthy_42,Healthy_43,Healthy_44,Healthy_45,Healthy_46,Healthy_47,Healthy_48,Healthy_49,Healthy_50,Healthy_51,Healthy_52,Healthy_53,Healthy_54,Healthy_55,Healthy_56,Healthy_57,Healthy_58,Healthy_59,Healthy_60,Healthy_61,Healthy_62,Healthy_63,Healthy_64,Healthy_65,Healthy_66,Healthy_67,Healthy_68,Healthy_69,Healthy_70,Healthy_71,Healthy_72,Healthy_73,Healthy_74,Healthy_75,Healthy_76,Healthy_77,Healthy_78,Healthy_79,Healthy_80,Healthy_81,Healthy_82,Healthy_83,Healthy_84,Healthy_85,Healthy_86,Healthy_87,Healthy_88,Healthy_89,Healthy_90,Healthy_91,Healthy_92,Healthy_93,Healthy_94,Healthy_95,Healthy_96,Healthy_97,Healthy_98,Healthy_99,Healthy_100,Healthy_101,Healthy_102,Healthy_103,Healthy_104,Healthy_105,Healthy_106,Healthy_107,Healthy_108,Healthy_109,Healthy_110,Healthy_111,Healthy_112,Healthy_113,Healthy_114,Healthy_115,Healthy_116,Healthy_117,Healthy_118,Healthy_119,Healthy_120,Healthy_121,Healthy_122,Healthy_123,Healthy_124,Healthy_125,Healthy_126,Healthy_127,Healthy_128,Healthy_129,Healthy_130,Healthy_131,Healthy_132,Healthy_133,Healthy_134,Healthy_135,Healthy_136,Healthy_137,Healthy_138,Healthy_139,Healthy_140,Healthy_141,Healthy_142,Healthy_143,Healthy_144,Healthy_145,Healthy_146,Healthy_147,Healthy_148,Healthy_149,Healthy_150,Healthy_151,Healthy_152,Healthy_153,Healthy_154,Healthy_155,Healthy_156,Healthy_157,Healthy_158,Healthy_159,Healthy_160,Healthy_161,Healthy_162,Healthy_163,Healthy_164,Healthy_165,Healthy_166,Healthy_167,Healthy_168,Healthy_169,Healthy_170,Healthy_171,Healthy_172,Healthy_173,Healthy_174,Healthy_175,Healthy_176,Healthy_177,Healthy_178
PC 33:3,24897,30100,16789,45784,14993,46488,50542,36341,28690,31180,36351,31230,16584,6797,12678,32491,18933,7008,44692,13944,31368,19095,49318,21845,19123,25744,25055,38871,25353,14800,37962,40710,27052,31721,17475,25228,24481,26961,20930,56718,38132,24672,34682,45377,14829,17038,22930,26987,15411,26798,22656,24313,20400,45717,14164,60761,39843,22078,16445,39152,71555,45949,48855,55655,29710,24902,50449,40923,27650,21460,18033,20722,14985,18710,27389,16702,48374,25206,16001,65935,37839,30556,42234,30405,57883,14567,10320,18306,18754,10487,4723,9710,14743,36120,18740,32968,11844,21207,19020,27982,10589,20654,14770,21456,14683,16860,13933,41369,11270,19519,19835,27322,21657,11107,17589,29970,10471,5822,11698,25416,21679,38016,8288,17342,10512,11572,8183,49993,20004,18079,46125,19925,17765,15418,8506,20371,12175,24059,10967,23479,19720,29386,25021,6368,22722,23424,14108,27528,33012,6075,21852,16817,48499,16075,13900,21679,10934,33940,14456,37928,10867,19627,9840,25691,10951,8967,23719,26465,20446,17483,12356,59306,8939,9825,19064,25717,20324,10380,16904,20633,36737,21291,11083,18175,46672,14509,14988,22713,66143,28024,26048,12055,28726,18676,39341,25413,26487,29389,43480,14301,50934,18094,14180,24739,19978,11073,13523,12155,13183,11860,23240,22666,13153,46779,9651,16267,23040,5881,6172,16823,31743,8351,14926,8883,22771,28386,35463,45959,20122,19676,19909,19270,11050,18505,35345,6043,18683,15779,40682,10986,14142,46242,40128,27000,21717,25322,40918,5366,7371,18181,16540,22509,22279,24371,23065,15063,25929,30896,9738,29105,30372,19188,22806,18885,15551,15103,10858
PC 30:2,12153,9518,13749,18513,5624,23272,7733,12649,15041,10002,16125,7119,4413,5147,5726,6514,7616,1686,9634,7507,16688,3349,10599,9287,6178,13397,7561,13161,16870,16663,14101,20390,14224,3906,7414,6505,11468,6211,34460,17669,10635,2406,5107,8755,7909,7197,3207,5502,10709,9469,8829,15602,7125,7125,2098,28953,15066,7459,6726,12779,32806,24596,10951,8018,9647,5591,10743,10103,9724,4612,10137,11406,6973,1503,16034,9439,9123,4954,4402,11369,10525,17332,13844,12313,21756,3361,3894,3140,3018,4810,850,6719,4028,7615,4749,21104,9424,9403,3848,16613,736,10054,10496,4931,38123,4896,2313,17359,4323,4100,3333,17961,2138,19948,6278,1994,2825,1233,5184,14967,13058,7544,1140,3582,3233,4237,3826,64515,6162,6554,27390,3867,7259,5603,4524,27093,1913,4183,1965,5878,3846,4214,5352,7435,3838,1494,2856,3062,6806,3754,9721,8347,18820,4680,5782,4671,3115,14931,2286,9678,7225,6194,2873,4482,4063,5925,9491,7905,2035,11943,5525,42130,508,5282,8751,5205,7953,2387,3830,4874,8967,6696,5407,4712,14141,4822,6402,2479,17246,6788,18100,2991,6505,5840,5487,30656,4512,4976,10118,3903,15937,7576,11059,11249,3725,9424,1033,2892,15440,3637,4768,9654,37966,6924,1975,2522,3737,1599,853,4834,16386,3753,979,6669,11599,7648,26147,20435,5527,6379,6387,8407,5069,10111,6844,2199,2581,3866,9008,40274,4238,12160,5223,13517,10534,5092,9765,1653,14703,9739,1835,7884,8487,2491,8576,7468,3434,9594,3496,26012,30615,32772,39999,7844,8577,8814,2210
PC 31:0,29949,12800,16909,18231,5233,22679,22314,23874,41772,25981,17295,26644,22875,12101,14739,37616,7648,18274,21963,22387,38958,12694,20806,17003,17769,16784,13335,30898,29086,27371,21146,26201,25031,7252,15833,9470,3541,15881,41841,23412,19636,7255,13771,20157,19694,24519,2561,17596,27820,31724,26377,27157,6725,20820,7810,23122,12336,16145,17673,13400,77785,22772,30819,53005,11408,14834,21370,11351,25639,16472,25752,19608,29629,5240,20278,14135,31303,2865,23495,22562,14235,28912,14890,13560,34478,9481,11491,8101,9114,3791,3904,6185,3647,12576,11985,33575,3436,32650,8714,11984,11013,23155,11502,10130,17408,4991,6762,25444,8490,19123,4000,31993,3607,9220,11895,13026,6789,6512,4838,12814,10331,7937,5839,6011,5013,4203,7658,49580,4967,52180,124558,25715,30462,31322,22678,10972,9246,9542,3554,13132,2403,10952,8075,20180,1461,4892,12683,21179,15023,4076,14994,21723,13315,16232,13283,3307,4656,10980,6465,18803,10927,6023,24400,9664,15005,5367,40322,17656,6259,7437,3290,30799,5668,4642,12842,5838,13073,8689,4734,12927,29525,11451,5119,8694,18452,3337,6218,17789,80496,15128,101950,7519,6744,5848,9952,50988,24154,11611,40661,15798,36969,18253,7879,12131,11704,8933,2649,1558,6476,12075,12433,11190,17890,6396,5226,12415,6494,5141,4628,8424,64253,4180,2291,4381,16823,16439,20354,77273,7583,16053,3294,66542,3133,27489,27589,26363,6676,13776,11377,11174,4661,23896,19111,9961,16631,50696,4582,2507,12803,26510,195,12297,1442,8862,6997,9903,4670,25185,3756,42210,7262,22329,6895,31907,8387,18974,4697
PC 31:0 (15:0/16:0),159630,111166,144978,281853,56976,127366,143946,193656,276563,191789,188270,141271,154105,84277,121479,208124,103967,157268,170311,136934,197787,125251,156756,130977,131717,199407,123856,219182,184515,129813,141267,179514,140310,139078,168043,110110,87758,135831,243655,240416,189375,145321,150018,170762,161727,170683,115009,107332,264225,231886,175104,173011,154740,147547,68733,170167,147373,122026,138186,149930,451793,203763,247978,189334,125048,132681,171983,137953,156314,156244,202559,189671,145917,81026,229715,158879,188044,86650,157016,297118,171217,210883,200024,142729,273010,87504,110852,153422,105057,127573,80528,74735,63176,99123,99677,190764,80181,131542,81922,81092,96293,124195,103042,111758,147432,107650,118864,231950,93800,98871,91122,160976,76332,87742,83373,114874,108990,112928,73902,144622,114199,150661,57630,95787,66452,70702,89042,191987,70171,258859,404176,143184,121130,197982,141696,108759,115479,142078,80474,124679,64147,136961,128802,186057,65282,75715,129879,135753,135416,76894,96468,193576,194498,113661,109427,115814,67487,140012,76754,161539,122478,91047,148680,119015,169318,85724,276842,186921,113668,111904,85608,201149,123421,99723,143517,105286,145370,111078,100463,137357,135878,118345,91921,102399,161826,80157,68584,171948,258991,147491,207459,101602,99114,106799,129979,210576,174600,115126,174069,137001,241544,158737,125648,122805,85575,116365,84997,95371,77744,119053,146263,108384,160707,100656,108854,98607,83263,101407,94302,93706,188552,58407,69484,84606,142423,159866,169806,284078,120424,181843,66858,231241,105834,202790,230450,177258,116825,110783,113465,124618,84142,123774,179588,123906,116409,164938,98323,71994,100493,169564,101123,165318,133719,143139,112499,125480,119365,176138,83815,179233,100317,177938,115916,190197,102640,158590,77865
PC 30:0 (14:0/16:0),29839,16074,27951,33326,17149,19672,34763,29064,47123,56080,27171,18293,18497,15953,13610,24595,35734,16486,21606,15464,35210,17521,28810,35999,30157,22668,19196,30946,24813,70625,53986,58446,23693,18278,30009,15330,26167,35554,52548,38368,23775,21326,34579,58619,31538,63686,15401,26837,35299,31030,34927,41056,23315,24753,8712,85080,27762,21195,28737,20160,68931,49854,36545,34234,19477,20639,32708,29454,24530,27057,29979,29990,19928,9309,23924,16450,33147,12834,20728,40288,23520,60996,37177,24151,98979,17550,13031,17648,14441,12829,7597,15196,15955,23177,10698,33836,18219,12610,20606,35064,9073,25544,21375,17273,37797,36110,18471,38871,20943,14217,9825,46265,9601,13729,10228,13261,11197,14133,14121,25239,16893,22688,7341,8131,10424,12593,16809,39217,18379,27481,69328,14303,18524,36929,15672,21022,12559,17815,17063,16816,5978,15314,15685,22847,8408,6734,14226,21665,28318,18658,50293,35308,59562,17479,34165,9670,17766,37156,10273,46439,22094,17609,18566,11759,15742,14596,32696,33408,10159,22380,12402,173163,17016,16583,28358,23644,24149,13668,19654,26210,39884,21347,16600,16120,47431,21190,19008,22261,62168,17550,27358,10434,33695,14892,15184,44187,35932,30373,48280,18345,54619,14215,17184,26754,8552,19943,8705,9409,46307,9490,11236,20259,67030,24634,18575,14100,17471,14308,12525,34798,50765,8814,11140,14967,35152,31105,26018,63863,18864,25437,30528,43908,27707,24849,24817,17939,14868,19129,26315,20841,13028,20857,22279,17959,44079,24024,13665,8722,16823,22998,10414,29682,19807,13115,25788,23606,8297,43789,13723,39554,36598,26732,31346,29286,36358,20895,9695
PC 32:1 (16:0/16:1),159136,117649,103794,155232,97131,91718,272632,88500,122587,169655,89288,73889,116841,64280,75336,96735,247579,61836,98030,65106,108625,71513,152094,210724,117490,91837,76616,130761,105878,448426,201270,225283,92502,109260,227466,103141,194308,157149,90705,176169,66880,81122,108309,296146,161089,263783,72000,179106,113959,64776,112451,158506,109733,107622,42529,409974,127278,91150,124619,70823,202366,197598,120503,161144,71063,105566,130502,94675,91466,102623,130555,105946,67605,59053,78218,60218,129702,95426,93047,157750,91085,212773,141242,90732,542480,90355,32089,109216,51606,87352,49019,58187,99710,166789,52931,140718,62803,122788,143228,169863,61559,130201,102629,101437,178466,201590,118561,169048,102346,73535,46808,154661,55496,45824,52289,65413,52530,132107,78060,107685,70406,133372,55023,43092,64569,59173,105912,87268,100320,97431,201283,77426,51208,132221,90375,78676,82972,74363,74276,69560,52455,54946,86165,143081,40504,39139,51908,163563,118271,98854,280735,145979,163956,92458,280294,96793,119969,199828,73137,154249,77038,70958,103885,56953,110536,107846,128287,202663,62009,114356,62815,455455,97737,54646,116287,99197,118416,58968,108660,108814,280513,105868,96871,76690,197063,178623,97298,99956,176930,73688,95783,69479,132040,82751,73460,159121,182931,120126,217914,85297,239619,56300,79732,142529,69791,89472,65835,49583,400993,55150,54934,85698,163069,117809,85909,72002,96185,72613,71046,251768,176370,45523,76931,81314,143547,123169,92462,239422,96275,111236,122423,172767,169627,110846,99530,101046,83359,86912,129467,88102,57357,92510,98025,86788,174057,106343,57656,43584,87576,83990,58294,100886,114839,65852,118118,134002,54038,177589,67843,139542,131293,114961,139308,135573,139708,97499,69984
PC 31:1 (16:0/15:1),37467,22677,18584,69383,12425,16315,43185,16078,32688,31324,22727,18732,26118,9704,17561,24212,28343,12779,22661,17180,30595,14529,29140,29832,21859,20030,14349,39461,32881,37157,21203,27704,20939,14093,35500,16422,21968,24157,24731,46530,17205,12253,19377,35683,30764,30069,14048,20929,28972,16027,25716,29955,23021,24499,9877,48724,25749,19125,18269,19938,73250,36181,31161,34230,15750,15043,24398,19114,23395,17189,26868,26794,17169,10339,24168,14095,25698,15626,22313,46407,21227,43438,30724,17449,74681,14603,5769,17041,10603,15732,8415,9368,10562,25685,13388,44173,11325,30409,21414,20539,10681,25301,14070,19804,36765,22690,14343,35708,13639,15422,8221,36750,10224,9906,9099,15847,10111,17506,12223,27265,14979,35598,9597,7273,10481,7191,14162,25167,15581,33080,76499,18763,15802,21778,23241,18518,12451,13193,10297,15043,8209,10686,16831,27623,3994,4444,9078,26151,13144,11219,23271,25613,17797,13246,25654,15863,14164,31771,10937,23891,13165,11902,18345,12787,24068,14879,36204,49998,13902,17968,10831,40140,12407,3533,20984,13433,20929,12732,19645,14740,38336,17714,13827,13718,30245,16786,10188,19922,44671,15784,41135,6301,15687,12417,13826,41681,44078,20870,37796,16835,57435,14839,13032,26585,11881,19255,9776,7149,26214,10646,16197,11963,22717,16355,14307,10660,13263,7312,8936,20135,44366,5826,8070,10834,15673,23583,21712,68400,19335,24844,10683,42635,24092,23993,25479,24720,13413,16661,21355,16640,9124,18403,22430,14669,18288,36057,13059,8175,14905,21111,9745,23899,23365,13177,18294,24927,9397,33751,11006,34018,19476,29093,23779,38689,17228,21075,10779
PC 32:2,56795,37378,31067,53588,29077,39093,51737,51872,51426,49253,46557,26095,28708,20156,21781,36361,43483,20792,38302,17920,48264,26151,47398,46174,33150,36896,33462,26261,30571,55151,46491,54245,35031,45134,41405,41839,45046,42939,30087,52177,42632,34938,37763,57295,33586,54207,27795,40691,35491,26071,39290,47743,32805,36947,17816,68729,47561,36187,30907,33709,67610,53523,40878,47059,29300,30601,43128,39813,36971,33049,41985,42550,24918,16611,37897,24367,47696,34303,29758,69011,46707,65852,57700,44420,122496,36262,15695,35882,30214,38640,15088,22574,30393,37812,26081,48565,41683,25201,37019,45033,17544,42491,32680,36307,47161,33457,25489,55148,33849,17836,21880,41682,16503,18631,20025,19381,32581,24792,16502,46332,20407,33812,13411,22808,16094,27169,20452,30605,17390,35118,53806,22423,16192,32605,18436,21957,21754,39553,26267,18071,19945,26541,21578,24263,19195,17768,21817,22380,30473,14687,31336,26617,41090,29752,36204,32436,13447,50734,23065,39188,25551,30965,24530,16914,22093,20458,41502,38434,25529,31427,30340,37343,31831,32250,37073,32046,33556,21378,32413,38643,45285,27609,26080,30528,46440,27003,26558,31704,40280,25844,27930,20172,29052,22397,34088,42257,44237,33447,43511,33043,54787,25332,25492,47112,19854,32791,22995,25862,52559,22103,34728,22344,30565,28365,23036,23891,22607,20946,17211,56347,41648,14066,23132,23901,29618,36712,35397,51247,26596,36223,33380,41952,29661,30875,32845,17175,41356,39182,43948,22202,32635,21085,26950,38488,43779,44752,42683,16043,15686,37929,33209,43828,51958,26262,46772,47633,37420,47384,28789,39577,43905,50921,47349,42936,37022,28048,25571
PC 35:6 (15:1/20:5),72071,50555,47106,52810,41344,56190,105881,72386,27420,85232,54745,30542,21225,55970,27851,38917,42658,24347,59485,28785,37351,28871,41514,29680,49923,77271,45497,35674,55646,52932,61687,59739,49412,58347,50750,35172,84558,54373,54591,79519,63677,41843,41055,83867,38208,35201,44961,51970,40182,44662,67699,54716,50880,58911,27253,91185,64957,48192,53840,60703,59710,81234,26185,59765,33713,73652,39009,70704,35495,50787,59080,49449,55644,32735,60479,69279,65581,37977,34706,85509,62678,55829,34441,76361,107635,48030,33373,51336,50465,32069,40054,61948,40898,88846,46942,45206,65020,34149,44470,38401,28640,47841,34760,53418,29693,29121,50844,49541,35316,21062,62354,60061,26365,22043,23844,36825,31479,42928,43454,75052,37067,50482,19243,54500,30592,40450,52131,26604,25965,44809,55143,19726,20257,17595,40818,21487,26318,47376,33383,24447,40537,36322,49474,37636,47703,44082,20183,44827,58070,47865,32271,43185,33635,28224,58417,40538,33272,47214,37403,39752,34211,44844,23083,34810,30153,32774,33456,36361,30281,33286,48101,161309,44372,39650,29348,28897,37360,33969,25590,42900,30022,52209,43722,34378,46165,42280,63830,18489,29342,38704,56472,29978,63050,49301,31322,52035,19440,82936,81630,55296,96738,41274,24453,43682,40020,39547,29507,41848,113193,61523,62440,55642,45069,50581,28587,38230,19790,31756,14197,35081,31582,41178,43784,37011,41720,33602,80481,59014,67892,38972,51319,31695,38744,41830,38328,14655,51692,26189,30257,47486,38074,38244,18950,56963,78139,42324,36193,40330,20948,53348,30167,32269,45145,64111,65008,38793,40030,34566,55158,51929,36684,25019,28700,42416,52628,29012,30832
PC 36:5 (18:2/18:3),63062,44691,44664,75709,42202,50629,93268,87920,51814,44535,74134,45990,33463,22402,35242,71451,33319,30036,74071,15949,54591,61634,105756,77645,47127,35669,53849,37811,30018,61512,53599,96163,58090,52621,31431,38539,59219,78605,38160,80867,68453,48910,54457,74052,33900,30750,51904,42066,41306,61501,48854,56867,47772,76611,28488,122800,83193,74181,52107,129242,45019,27185,78818,74756,62733,74488,74766,81202,78770,71139,65837,59803,33537,34165,65257,40549,109483,64270,64826,57752,63732,65421,60505,70756,88315,36627,42982,57368,54567,19755,12982,35377,33636,39694,42731,57384,46727,19573,60936,40874,32602,26701,36597,61371,36802,26998,50413,52023,21253,20738,54851,37442,20185,27096,26328,37924,36341,22482,87513,28517,89387,32971,19496,60326,38748,48374,31748,43759,60572,45977,31448,51883,22871,35372,26532,22206,18345,62363,28184,26838,55534,42921,32187,16058,92259,65275,25072,34276,56859,34916,18198,35004,63811,30205,7823,32815,35470,42692,38817,48202,39825,35270,20839,64720,42049,35243,44575,29708,58609,20100,27282,74754,53384,40009,59758,62890,85688,36340,51959,42425,25997,43532,19124,38128,54023,57333,39197,31029,47787,43357,30712,19508,64217,40218,63597,22838,38345,33506,30692,33320,44976,43678,37981,31375,60313,21515,30525,37308,35369,32190,77008,36635,19712,113548,34358,57905,48253,29830,7774,18918,56427,40494,39816,55426,29287,37238,112526,32881,88465,29297,76134,21021,41374,26929,39718,2659,99958,37378,75068,37370,59790,24267,61281,46077,63972,56764,100229,25648,39778,35991,29799,29188,53243,44648,44883,32996,59634,30343,61260,21683,56406,46627,84086,26669,22073,20501,34609
PC 34:4 (16:1/18:3),55338,104876,85957,166266,55763,88380,65324,145992,94536,112955,95570,79303,103658,33944,51655,102182,60153,48923,133836,32111,109421,60273,207367,127876,86079,103163,76130,89043,108531,108968,114373,176492,93617,74289,64532,93809,91860,157330,46869,157627,81729,73500,71953,145827,46838,67250,70915,123856,31858,48951,52870,109221,97451,131512,31315,261084,128279,108139,42462,102610,115565,101247,151721,82456,65408,103984,116179,77304,123504,88457,70277,85750,48997,60372,76008,60940,123820,87067,111083,127719,95381,92323,109459,101520,214975,67012,33087,76195,57528,59638,23920,49840,91722,124279,72607,75172,78520,60787,160627,47843,38129,40049,64638,84545,108949,97402,95341,83755,41450,51207,65129,91544,19364,30678,45196,72084,50603,42533,106971,119581,92848,91248,32816,64999,62745,87020,77546,49851,77614,106220,139759,94547,32860,36907,50242,38693,38167,68631,72433,60562,66381,59543,62718,50040,56801,59357,19448,98383,73353,40434,26507,84657,90954,75149,49685,96190,83476,58348,59438,49871,62853,44239,44790,67602,83648,72443,50105,43829,78181,29534,42295,172756,71096,54734,101751,70197,112394,46555,109779,92911,122667,83923,52921,70718,66116,143571,41035,53609,98685,40443,72952,51048,81779,68787,108247,63734,81543,75145,67907,65125,131743,50663,48037,48802,71206,45864,46103,59599,58267,79240,114449,45603,46879,175497,50012,78115,75122,57401,17898,39391,101473,58353,45280,97606,46977,72686,98752,61507,124005,56131,59589,30373,92754,25055,78504,11730,116119,55169,147069,46746,78736,39197,118350,99504,83264,138940,147140,47837,58498,36399,31327,79973,60149,55561,81608,62493,64502,75543,70110,9626,91048,70490,143016,55078,18676,54905,51806
