Name,cv
"Cer 38:1 (d18:1/20:0, d16:1/22:0)",0.186
"Cer 40:1 (d18:1/22:0, d16:1/24:0)",0.153
Cer 40:2 (d18:2/22:0),0.142
Cer 41:0 (d18:0/23:0),0.269
Cer 41:1 (d18:1/23:0),0.204
Cer 41:2 (d18:2/23:0),0.175
Cer 42:1 (d18:1/24:0),0.219
Cer 42:2 (d18:1/24:1),0.119
"Cer 42:2 (d18:2/24:0, d18:1/24:1)",0.095
"Cer 42:3 (d18:1/24:2, d18:2/24:1)",0.072
DG 30:0 (14:0/16:0),0.178
DG 32:0 (16:0/16:0),0.05
"DG 32:1 (16:0/16:1, 14:0/18:1)",0.052
DG 32:2 (14:0/18:2),0.038
DG 34:0 (16:0/18:0),0.132
DG 34:1 (16:0/18:1),0.034
DG 34:2 (16:0/18:2),0.097
DG 34:3 (16:1/18:2),0.111
"DG 34:4 (16:2/18:2, 16:1/18:3)",0.061
DG 36:0 (18:0/18:0),0.154
DG 36:1 (18:0/18:1),0.132
DG 36:2 (18:1/18:1),0.043
DG 36:3 (18:1/18:2),0.084
DG 36:4 (18:2/18:2),0.046
DG 36:4 (16:0/20:4),0.293
DG 36:5 (18:2/18:3),0.051
DG 38:5 (18:1/20:4),0.276
DG 38:6 (18:2/20:4),0.043
"DG 38:7 (18:2/20:5, 18:3/20:4)",0.051
LPC O-16:0,0.06
LPC O-16:1,0.04
LPC O-18:0,0.048
LPC O-18:1 (i),0.032
LPC O-18:1 (ii),0.047
LPC O-20:0,0.135
LPC O-20:1,0.068
LPC O-20:2,0.078
LPC O-22:0,0.06
LPC O-24:1,0.091
LPC O-24:2,0.112
LPE O-16:1,0.038
LPE O-18:1,0.041
LPE O-18:2,0.105
LPE O-20:1,0.099
PC O-30:0,0.055
PC O-32:0 (16:0/16:0),0.103
PC O-32:1,0.068
PC O-32:1 (16:1/16:0),0.053
PC O-32:2,0.281
PC O-34:0 (18:0/16:0),0.107
PC O-34:1,0.147
"PC O-34:1 (18:1/16:0, 16:0/18:1)",0.087
PC O-34:2 (16:0/18:2),0.061
PC O-34:2 (16:1/18:1),0.036
PC O-34:3 (i),0.071
PC O-34:3 (ii),0.068
PC O-34:3 (16:1/18:2),0.026
PC O-35:2,0.139
PC O-35:3 (i),0.045
PC O-35:3 (ii),0.088
PC O-35:4 (ii),0.072
PC O-35:4 (i),0.07
PC O-36:2 (18:0/18:2),0.049
PC O-36:2 (18:1/18:1) (i),0.062
PC O-36:2 (18:1/18:1) (ii),0.074
PC O-36:3 (16:0/20:3),0.187
PC O-36:3 (18:1/18:2) (i),0.036
