,0,1,2,3,4
0,90.0,230.0,70.0,30.0,190.0
1,150.0,70.0,70.0,210.0,70.0
2,90.0,130.0,270.0,70.0,150.0
3,70.0,30.0,10.0,30.0,250.0
4,30.0,30.0,70.0,70.0,10.0
5,30.0,70.0,10.0,70.0,130.0
6,30.0,150.0,30.0,70.0,30.0
7,230.0,90.0,250.0,10.0,210.0
8,130.0,230.0,110.0,190.0,190.0
9,30.0,70.0,10.0,150.0,70.0
10,150.0,150.0,30.0,70.0,230.0
11,70.0,150.0,50.0,150.0,210.0
12,70.0,250.0,10.0,30.0,130.0
13,150.0,130.0,30.0,150.0,30.0
14,30.0,150.0,150.0,30.0,70.0
15,150.0,30.0,150.0,130.0,50.0
16,70.0,90.0,10.0,250.0,10.0
17,130.0,210.0,210.0,30.0,70.0
18,30.0,30.0,250.0,130.0,70.0
19,70.0,50.0,10.0,250.0,150.0
