,0,1,2,3,4
0,10.0,8.0,10.0,8.0,10.0
1,10.0,13.0,6.0,10.0,13.0
2,13.0,8.0,10.0,10.0,10.0
3,13.0,8.0,8.0,8.0,10.0
4,10.0,10.0,6.0,10.0,13.0
5,10.0,8.0,8.0,13.0,10.0
6,13.0,8.0,6.0,8.0,8.0
7,10.0,6.0,8.0,13.0,10.0
8,6.0,10.0,10.0,8.0,10.0
9,13.0,10.0,10.0,13.0,8.0
10,10.0,6.0,10.0,10.0,8.0
11,10.0,8.0,8.0,6.0,6.0
12,10.0,8.0,10.0,13.0,10.0
13,13.0,6.0,10.0,10.0,8.0
14,8.0,13.0,8.0,4.0,13.0
15,8.0,10.0,8.0,10.0,13.0
16,8.0,13.0,10.0,10.0,8.0
17,8.0,6.0,13.0,13.0,8.0
18,8.0,10.0,8.0,10.0,10.0
19,8.0,8.0,6.0,10.0,10.0
